epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.766,1.87053,3.32654,3.36659,1.61916,0.00906,0.51418,0.13727,0.05922,0.00786,0.44048,0.13514,0.06207,1.55192,2.41974,3.64729,1.32975,0.000466612,0.000466612,0.000466612
2,689.652,1.74553,2.76284,2.37855,1.51336,0.88463,0.12005,0.48619,0.26254,0.88463,0.12005,0.48319,0.27116,1.66833,2.69176,3.03287,1.41537,0.000849594,0.000849594,0.000849594
3,1049.19,1.67017,2.65409,2.10581,1.4356,0.72947,0.72498,0.73692,0.4097,0.73858,0.73389,0.74032,0.42165,1.53839,2.19962,1.64646,1.30051,0.00113826,0.00113826,0.00113826
4,1406.99,1.6231,2.5048,1.9908,1.41234,0.80824,0.74087,0.78576,0.46721,0.80311,0.72523,0.76875,0.43589,1.44936,2.34562,1.48771,1.30123,0.00100459,0.00100459,0.00100459
5,2003.63,1.55368,2.43791,1.80888,1.39898,0.83251,0.78404,0.79615,0.46976,0.83973,0.79235,0.79325,0.44508,1.38975,2.11225,1.35772,1.23274,0.000863116,0.000863116,0.000863116
6,2358.95,1.52972,2.39858,1.71771,1.37097,0.81048,0.75692,0.81899,0.49056,0.82443,0.76919,0.82049,0.47829,1.38745,1.9892,1.27191,1.21517,0.000721645,0.000721645,0.000721645
7,2719.56,1.45598,2.25903,1.60243,1.3231,0.8967,0.78033,0.83753,0.52577,0.89876,0.78212,0.84087,0.52245,1.30952,1.76391,1.06262,1.16349,0.000580174,0.000580174,0.000580174
8,3087.48,1.41458,2.21247,1.50079,1.29548,0.87246,0.82703,0.85359,0.55637,0.87546,0.8318,0.85777,0.53852,1.24171,1.72966,1.03323,1.14317,0.000438703,0.000438703,0.000438703
9,3452.34,1.35451,2.11849,1.42298,1.26944,0.86142,0.84883,0.88328,0.58778,0.88999,0.84164,0.88824,0.57619,1.21351,1.64829,0.9662,1.12485,0.000297232,0.000297232,0.000297232
10,3815.38,1.33096,2.11738,1.39859,1.25757,0.87149,0.84086,0.8841,0.59686,0.87336,0.84266,0.88617,0.57536,1.13895,1.64024,0.94958,1.09931,0.000155761,0.000155761,0.000155761
